date,value
2015-4-26 3:00,1817
2015-4-26 3:05,1912
2015-4-26 3:10,1960
2015-4-26 3:15,1967
2015-4-26 3:20,1982
2015-4-26 3:25,2979
2015-4-26 3:30,3160
2015-4-26 3:35,2920
2015-4-26 3:40,2699
2015-4-26 3:45,2634
2015-4-26 3:50,4138
2015-4-26 3:55,2985
2015-4-26 4:00,2753
2015-4-26 4:05,2747
2015-4-26 4:10,2753
2015-4-26 4:15,2826
2015-4-26 4:20,2104
2015-4-26 4:25,1548
2015-4-26 4:30,1517
2015-4-26 4:35,1457
2015-4-26 4:40,1466
2015-4-26 4:45,1427
2015-4-26 4:50,3107
2015-4-26 4:55,1961
2015-4-26 5:00,1662
2015-4-26 5:05,1873
2015-4-26 5:10,2200
2015-4-26 5:15,2208
2015-4-26 5:20,1838
2015-4-26 5:25,1766
2015-4-26 5:30,1720
2015-4-26 5:35,1635
2015-4-26 5:40,1677
2015-4-26 5:45,1645
2015-4-26 5:50,3310
2015-4-26 5:55,2440
2015-4-26 6:00,2009
2015-4-26 6:05,1867
2015-4-26 6:10,1989
2015-4-26 6:15,2032
2015-4-26 6:20,1678
2015-4-26 6:25,1872
2015-4-26 6:30,1782
2015-4-26 6:35,1768
2015-4-26 6:40,1991
2015-4-26 6:45,1685
2015-4-26 6:50,3212
2015-4-26 6:55,3088
2015-4-26 7:00,2288
2015-4-26 7:05,2499
2015-4-26 7:10,2621
2015-4-26 7:15,2403
2015-4-26 7:20,2347
2015-4-26 7:25,4151
2015-4-26 7:30,3797
2015-4-26 7:35,3064
2015-4-26 7:40,3314
2015-4-26 7:45,3045
2015-4-26 7:50,4119
2015-4-26 7:55,3301
2015-4-26 8:00,2940
2015-4-26 8:05,3033
2015-4-26 8:10,2419
2015-4-26 8:15,2129
2015-4-26 8:20,1729
2015-4-26 8:25,1692
2015-4-26 8:30,1593
2015-4-26 8:35,1535
2015-4-26 8:40,1624
2015-4-26 8:45,1645
2015-4-26 8:50,3681
2015-4-26 8:55,3237
2015-4-26 9:00,2187
2015-4-26 9:05,2726
2015-4-26 9:10,3135
2015-4-26 9:15,2565
2015-4-26 9:20,2324
2015-4-26 9:25,3697
2015-4-26 9:30,3748
2015-4-26 9:35,3790
2015-4-26 9:40,3568
2015-4-26 9:45,3816
2015-4-26 9:50,4701
2015-4-26 9:55,3990
2015-4-26 10:00,3142
2015-4-26 10:05,3724
2015-4-26 10:10,2873
2015-4-26 10:15,3080
2015-4-26 10:20,2169
2015-4-26 10:25,2875
2015-4-26 10:30,2657
2015-4-26 10:35,2573
2015-4-26 10:40,2206
2015-4-26 10:45,3925
2015-4-26 10:50,5075
2015-4-26 10:55,3391
2015-4-26 11:00,3262
2015-4-26 11:05,4393
2015-4-26 11:10,2982
2015-4-26 11:15,3833
2015-4-26 11:20,4460
2015-4-26 11:25,4539
2015-4-26 11:30,5216
2015-4-26 11:35,5056
2015-4-26 11:40,4466
2015-4-26 11:45,4391
2015-4-26 11:50,5625
2015-4-26 11:55,4384
2015-4-26 12:00,3627
2015-4-26 12:05,3749
2015-4-26 12:10,3664
